epoch,optimizer_updates,processed_trajectories,optimizer_batches,microbatches,micro_batch_size,effective_batch_size,backward_loss_mean_per_trajectory,full_spacetime_loss_mean_per_trajectory,learning_rate,epoch_seconds,mean_epoch_seconds_this_run,estimated_remaining_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes
1,100,1000,100,200,5,10,0.8610787947177887,0.8610787947177887,0.001,310.43368199979886,310.4336960003711,154906.4143041852,6754928640,8269070336
2,200,1000,100,200,5,10,0.7801874923706055,0.7801874923706055,0.001,310.33746580034494,310.38985670008697,154574.1486366433,6754928640,8269070336
3,300,1000,100,200,5,10,0.7471796128749847,0.7471796128749847,0.001,311.13278109999374,310.64051230003435,154388.33461311707,6754928640,8269070336
4,400,1000,100,200,5,10,0.7281649181842804,0.7281649181842804,0.001,311.5505674001761,310.86959487502463,154191.31905801222,6754928640,8269070336
5,500,1000,100,200,5,10,0.7113685336112976,0.7113685336112976,0.001,310.94749929988757,310.88724466003475,153889.1861067172,6754928640,8269070336
6,600,1000,100,200,5,10,0.6966794986724854,0.6966794986724854,0.001,310.65113379992545,310.8492277666616,153559.51851673084,6754928640,8269070336
7,700,1000,100,200,5,10,0.6845565679073333,0.6845565679073333,0.001,311.3355429000221,310.91953178574994,153283.32917037472,6754928640,8269070336
8,800,1000,100,200,5,10,0.675671481847763,0.675671481847763,0.001,311.08944639982656,310.94154178752797,152983.23855946376,6754928640,8269070336
9,900,1000,100,200,5,10,0.6674788682460785,0.6674788682460785,0.001,311.62999759986997,311.01892931112604,152710.2942917629,6754928640,8269070336
10,1000,1000,100,200,5,10,0.6597914249897003,0.6597914249897003,0.001,310.5155785996467,310.9693808500189,152374.99661650928,6754928640,8269070336
11,1100,1000,100,200,5,10,0.6538361251354218,0.6538361251354218,0.001,311.0191349997185,311.00729816364634,152082.56880202307,6754928640,8269070336
12,1200,1000,100,200,5,10,0.6477751221656799,0.6477751221656799,0.001,310.4210723997094,310.95929608334944,151748.13648867453,6754928640,8269070336
13,1300,1000,100,200,5,10,0.6412106084823609,0.6412106084823609,0.001,311.098547199741,310.9704417538686,151442.605134134,6754928640,8269070336
14,1400,1000,100,200,5,10,0.6385582683086395,0.6385582683086395,0.001,310.18639479996637,310.91535965715804,151104.8647933788,6754928640,8269070336
15,1500,1000,100,200,5,10,0.6333556702136993,0.6333556702136993,0.001,311.2198235001415,310.9362481866653,150804.08037053267,6754928640,8269070336
16,1600,1000,100,200,5,10,0.6277221763134002,0.6277221763134002,0.001,310.5936947995797,310.9153848562564,150483.0462704281,6754928640,8269070336
17,1700,1000,100,200,5,10,0.6245819149017334,0.6245819149017334,0.001,310.14363569999114,310.87033628825753,150150.3724272284,6754928640,8269070336
18,1800,1000,100,200,5,10,0.6201129120588302,0.6201129120588302,0.001,310.3909579999745,310.8442316722228,149826.91966601138,6754928640,8269070336
19,1900,1000,100,200,5,10,0.617297771692276,0.617297771692276,0.001,310.39883870026097,310.8212008421113,149504.99760505554,6754928640,8269070336
20,2000,1000,100,200,5,10,0.6150656795501709,0.6150656795501709,0.001,310.4596548997797,310.80356305500027,149185.71026640013,6754928640,8269070336
21,2100,1000,100,200,5,10,0.609747829914093,0.609747829914093,0.001,309.25646119983867,310.74921456666755,148848.87377743376,6754928640,8269070336
22,2200,1000,100,200,5,10,0.6081120862960815,0.6081120862960815,0.001,310.07464129989967,310.71897664092563,148523.67083436245,6754928640,8269070336
23,2300,1000,100,200,5,10,0.6065053799152375,0.6065053799152375,0.001,310.62147840019315,310.7151025913089,148211.10393605434,6754928640,8269070336
24,2400,1000,100,200,5,10,0.602202796459198,0.602202796459198,0.001,310.7232894003391,310.7158064125106,147900.72385235503,6754928640,8269070336
25,2500,1000,100,200,5,10,0.5987181243896484,0.5987181243896484,0.001,309.92049579974264,310.68445158401505,147575.11450240714,6754928640,8269070336
26,2600,1000,100,200,5,10,0.5961798615455628,0.5961798615455628,0.001,310.44614680018276,310.67562490769734,147260.24620624853,6754928640,8269070336
27,2700,1000,100,200,5,10,0.5944339351654053,0.5944339351654053,0.001,310.39776300033554,310.6656395185187,146944.84749225935,6754928640,8269070336
28,2800,1000,100,200,5,10,0.5917706949710846,0.5917706949710846,0.001,310.4372010999359,310.65772559643455,146630.4464815171,6754928640,8269070336
29,2900,1000,100,200,5,10,0.5893835057020187,0.5893835057020187,0.001,309.5521998000331,310.6198546241423,146301.95152797102,6754928640,8269070336
30,3000,1000,100,200,5,10,0.5876516163349151,0.5876516163349151,0.001,298.5112630999647,310.21645483667965,145801.73377323942,6754928640,8269070336
31,3100,1000,100,200,5,10,0.5856115369796753,0.5856115369796753,0.001,131.20520319975913,304.4516804741936,142787.8381423968,6754928640,8269070336
32,3200,1000,100,200,5,10,0.5844317998886108,0.5844317998886108,0.001,131.50878809997812,299.0474296375032,139954.1970703515,6754928640,8269070336
33,3300,1000,100,200,5,10,0.5807275409698487,0.5807275409698487,0.001,131.2388200997375,293.96252099696943,137280.49730558472,6754928640,8269070336
34,3400,1000,100,200,5,10,0.5798455767631531,0.5798455767631531,0.001,131.48741000005975,289.1840403970632,134759.76282503144,6754928640,8269070336
35,3500,1000,100,200,5,10,0.5774549224376678,0.5774549224376678,0.001,131.4686492998153,284.6782056228657,132375.36561463255,6754928640,8269070336
36,3600,1000,100,200,5,10,0.5775729398727417,0.5775729398727417,0.001,131.2554312995635,280.4166147277768,130113.30923368843,6754928640,8269070336
37,3700,1000,100,200,5,10,0.5761845276355744,0.5761845276355744,0.001,131.00698859989643,276.37863340001,127963.30726420463,6754928640,8269070336
38,3800,1000,100,200,5,10,0.575959701538086,0.575959701538086,0.001,130.77694780007005,272.5471347631568,125916.77626057844,6754928640,8269070336
39,3900,1000,100,200,5,10,0.5737059831619262,0.5737059831619262,0.001,130.8141831997782,268.91307994359147,123968.92985399567,6754928640,8269070336
40,4000,1000,100,200,5,10,0.5714487640857696,0.5714487640857696,0.001,130.7952326000668,265.4602410149993,122111.7108668997,6754928640,8269070336
41,4100,1000,100,200,5,10,0.570216208934784,0.570216208934784,0.001,130.65653150016442,262.17817481464095,120339.7822399202,6754928640,8269070336
42,4200,1000,100,200,5,10,0.5678151880502701,0.5678151880502701,0.001,130.75944120017812,259.0492805476256,118644.57049081252,6754928640,8269070336
43,4300,1000,100,200,5,10,0.5675080853700638,0.5675080853700638,0.001,130.48140660021454,256.0594325534956,117019.16067694747,6754928640,8269070336
44,4400,1000,100,200,5,10,0.5671484855413437,0.5671484855413437,0.001,130.46105779986829,253.2050462750062,115461.50110140283,6754928640,8269070336
45,4500,1000,100,200,5,10,0.5659525322914124,0.5659525322914124,0.001,130.51197530003265,250.47864789333607,113967.78479146792,6754928640,8269070336
46,4600,1000,100,200,5,10,0.5614406439065933,0.5614406439065933,0.001,130.28706469992176,247.8658915304417,112531.11475482053,6754928640,8269070336
47,4700,1000,100,200,5,10,0.5606216615438462,0.5606216615438462,0.001,130.29209859995171,245.3644347340463,111150.08893452298,6754928640,8269070336
48,4800,1000,100,200,5,10,0.5605344605445862,0.5605344605445862,0.001,130.58337859995663,242.97327361458642,109823.91967379306,6754928640,8269070336
49,4900,1000,100,200,5,10,0.561236953496933,0.561236953496933,0.001,130.54872900014743,240.67898573061186,108546.22256450595,6754928640,8269070336
50,5000,1000,100,200,5,10,0.5549702396392823,0.5549702396392823,0.001,130.69679819978774,238.4794397640042,107315.74789380189,6754928640,8269070336
51,5100,1000,100,200,5,10,0.5566223413944245,0.5566223413944245,0.001,130.25331299984828,236.3620996803922,106126.5827564961,6754928640,8269070336
52,5200,1000,100,200,5,10,0.5562921954393387,0.5562921954393387,0.001,130.41910259984434,234.32483891539204,104977.52783409563,6754928640,8269070336
53,5300,1000,100,200,5,10,0.5537718324661255,0.5537718324661255,0.001,130.23962270002812,232.3610991886817,103865.41133734072,6754928640,8269070336
54,5400,1000,100,200,5,10,0.5528807520866394,0.5528807520866394,0.001,130.19382019992918,230.46923702593065,102789.27971356508,6754928640,8269070336
55,5500,1000,100,200,5,10,0.5513121178150177,0.5513121178150177,0.001,130.2656872998923,228.64744416182353,101748.11265201148,6754928640,8269070336
56,5600,1000,100,200,5,10,0.5495740505456924,0.5495740505456924,0.001,130.16008740011603,226.8888742553619,100738.66016938069,6754928640,8269070336
57,5700,1000,100,200,5,10,0.5504381647109985,0.5504381647109985,0.001,130.09204609971493,225.19077944035823,99759.5152920787,6754928640,8269070336
58,5800,1000,100,200,5,10,0.5515059995651245,0.5515059995651245,0.001,130.08515600021929,223.55113912413924,98809.60349286954,6754928640,8269070336
59,5900,1000,100,200,5,10,0.5484401450157166,0.5484401450157166,0.001,130.00200319988653,221.9656461796613,97886.84996523063,6754928640,8269070336
60,6000,1000,100,200,5,10,0.5491036130189896,0.5491036130189896,0.001,130.217382799834,220.43659432500135,96992.1015030006,6754928640,8269070336
61,6100,1000,100,200,5,10,0.5463697730302811,0.5463697730302811,0.001,130.1462554000318,218.96029157049526,96123.56799944742,6754928640,8269070336
62,6200,1000,100,200,5,10,0.5477289283275604,0.5477289283275604,0.001,129.96691760001704,217.5250088387139,95275.95387135669,6754928640,8269070336
63,6300,1000,100,200,5,10,0.5455340932607651,0.5455340932607651,0.001,130.18032409995794,216.1386912984123,94452.60809740618,6754928640,8269070336
64,6400,1000,100,200,5,10,0.5422575951814651,0.5422575951814651,0.001,130.13933470007032,214.79504139375058,93650.63804767525,6754928640,8269070336
65,6500,1000,100,200,5,10,0.5401759384870529,0.5401759384870529,0.001,129.968683199957,213.49011444769656,92868.19978474801,6754928640,8269070336
66,6600,1000,100,200,5,10,0.5416597318649292,0.5416597318649292,0.001,130.02937360014766,212.2256378727316,92105.92683676552,6754928640,8269070336
67,6700,1000,100,200,5,10,0.5422176944017411,0.5422176944017411,0.001,130.04660740029067,210.99917843134435,91362.6442607721,6754928640,8269070336
68,6800,1000,100,200,5,10,0.5419925339221955,0.5419925339221955,0.001,129.93661529989913,209.80715467059053,90636.69081769511,6754928640,8269070336
69,6900,1000,100,200,5,10,0.5396786460876465,0.5396786460876465,0.001,130.13085100008175,208.65252673623246,89929.23902331619,6754928640,8269070336
70,7000,1000,100,200,5,10,0.5358514767885209,0.5358514767885209,0.001,130.05773420026526,207.52982173000595,89237.82334390256,6754928640,8269070336
71,7100,1000,100,200,5,10,0.5378644942045212,0.5378644942045212,0.001,129.979270900134,206.44112787746602,88563.24385943291,6754928640,8269070336
72,7200,1000,100,200,5,10,0.5361127128601074,0.5361127128601074,0.001,130.05374450003728,205.38026674166838,87902.75416543406,6754928640,8269070336
73,7300,1000,100,200,5,10,0.5370136202573776,0.5370136202573776,0.001,130.00218919990584,204.3477793849354,87256.50179736741,6754928640,8269070336
74,7400,1000,100,200,5,10,0.5347013719081879,0.5347013719081879,0.001,130.10156780015677,203.34453683378604,86624.77269119285,6754928640,8269070336
75,7500,1000,100,200,5,10,0.5327619923353195,0.5327619923353195,0.001,130.09623620007187,202.36796805333347,86006.38642266672,6754928640,8269070336
76,7600,1000,100,200,5,10,0.5352469710111618,0.5352469710111618,0.001,129.90677249990404,201.41462261316147,85399.79998798047,6754928640,8269070336
77,7700,1000,100,200,5,10,0.5327051385641098,0.5327051385641098,0.001,129.8440836002119,200.4852107909097,84805.2441645548,6754928640,8269070336
78,7800,1000,100,200,5,10,0.5296500693559647,0.5296500693559647,0.001,129.99414320010692,199.58155215384724,84223.41500892353,6754928640,8269070336
79,7900,1000,100,200,5,10,0.531075032234192,0.531075032234192,0.001,129.99170969985425,198.70075053544832,83653.01597542374,6754928640,8269070336
80,8000,1000,100,200,5,10,0.5288221868276596,0.5288221868276596,0.001,129.9257408999838,197.84114466250176,83093.28075825074,6754928640,8269070336
81,8100,1000,100,200,5,10,0.530023914694786,0.530023914694786,0.001,130.0763966003433,197.00771083333817,82546.2308391687,6754928640,8269070336
