epoch,optimizer_updates,processed_trajectories,optimizer_batches,micro_batch_size,effective_batch_size,accumulation_steps,step_relative_l2_sum_mean_per_trajectory,full_spacetime_relative_l2_mean_per_trajectory,learning_rate,epoch_seconds,mean_epoch_seconds_this_process,estimated_remaining_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes
1,50,1000,50,20,20,1,1.3477818946838378,0.33782581448554994,0.001,14.491860999725759,14.492716200184077,7231.438638863154,761111040,805306368
2,100,1000,50,20,20,1,0.684807731628418,0.1721082320213318,0.001,13.920967699959874,14.209011249942705,6932.641914580017,761111040,805306368
3,150,1000,50,20,20,1,0.5157637748718261,0.13017393660545348,0.001,13.629348100163043,14.016772133298218,6773.786005781032,761111040,805306368
4,200,1000,50,20,20,1,0.4221100172996521,0.1066858640909195,0.001,13.842093399725854,13.973769000032917,6865.678326264024,761111040,805306368
5,250,1000,50,20,20,1,0.354650981426239,0.08963454353809357,0.001,13.661714399699122,13.912221200019122,6762.548627851065,761111040,805306368
6,300,1000,50,20,20,1,0.3452573719024658,0.08749369430541992,0.001,13.88772669993341,13.908723749996474,6860.536989767104,761111040,805306368
7,350,1000,50,20,20,1,0.3071410574913025,0.0778185557126999,0.001,13.91876590019092,13.911102057168526,6861.951588794123,761111040,805306368
8,400,1000,50,20,20,1,0.25241141295433045,0.06379123198986053,0.001,13.633473299909383,13.877030162489973,6707.6688635554165,761111040,805306368
9,450,1000,50,20,20,1,0.2290178005695343,0.05792459535598755,0.001,13.703314499929547,13.858644333357612,6728.327419465408,761111040,805306368
10,500,1000,50,20,20,1,0.21109700870513917,0.05339894211292267,0.001,13.596299400087446,13.832962370011955,6662.1867060428485,761111040,805306368
11,550,1000,50,20,20,1,0.20712676978111266,0.05248797816038132,0.001,13.957014600280672,13.944070045455275,6824.980139537249,761111040,805306368
12,600,1000,50,20,20,1,0.2024215934276581,0.051326166450977324,0.001,13.722675600089133,13.926076241652481,6696.665692843497,761111040,805306368
13,650,1000,50,20,20,1,0.18379119634628296,0.046591862380504605,0.001,13.995884800329804,13.931894938461483,6815.995897760615,761111040,805306368
14,700,1000,50,20,20,1,0.1847571053504944,0.046877330601215364,0.001,13.956776199862361,13.934003607137129,6782.993233133107,761111040,805306368
15,750,1000,50,20,20,1,0.17755325746536255,0.04506765627861023,0.001,14.011384800076485,13.939515826664865,6795.521628037095,761111040,805306368
16,800,1000,50,20,20,1,0.18313164234161378,0.04656341135501862,0.001,13.944024899974465,13.94007693749154,6748.908051587641,761111040,805306368
17,850,1000,50,20,20,1,0.19582555222511291,0.04986707085371017,0.001,13.485097500029951,13.913617205888253,6513.3020925144665,761111040,805306368
18,900,1000,50,20,20,1,0.24757694363594054,0.06319760704040528,0.001,13.68413870036602,13.90115322221795,6595.754853576422,761111040,805306368
19,950,1000,50,20,20,1,0.22696765613555908,0.05787952589988708,0.001,13.971219200175256,13.905150957895737,6720.156435284298,761111040,805306368
20,1000,1000,50,20,20,1,0.2113232753276825,0.05384906637668609,0.001,14.092881300020963,13.914747949992307,6764.583024010062,761111040,805306368
21,1050,1000,50,20,20,1,0.20985908722877503,0.05348636740446091,0.001,13.762589399702847,13.966946404759906,6592.280322457664,761111040,805306368
22,1100,1000,50,20,20,1,0.19789109444618225,0.050419616162776945,0.001,13.831176400184631,13.961648909099909,6611.302319288254,761111040,805306368
23,1150,1000,50,20,20,1,0.19454175257682801,0.049567410588264464,0.001,14.137675900012255,13.970236295651969,6743.6714043058455,761111040,805306368
24,1200,1000,50,20,20,1,0.1924361205101013,0.04903355157375336,0.001,14.114614400081336,13.977130391673805,6718.556454438716,761111040,805306368
25,1250,1000,50,20,20,1,0.1833284685611725,0.04668981498479843,0.001,14.25143750011921,13.98890235600993,6769.432812556624,761111040,805306368
26,1300,1000,50,20,20,1,0.15316328883171082,0.038942962884902954,0.001,13.924022600054741,13.98715498461388,6599.986712425947,761111040,805306368
27,1350,1000,50,20,20,1,0.13816430115699768,0.03512143278121948,0.001,13.948076199740171,13.986417266660956,6597.440042477101,761111040,805306368
28,1400,1000,50,20,20,1,0.13793943119049074,0.03508250904083252,0.001,14.231822399888188,13.99594698929494,6717.420172747225,761111040,805306368
29,1450,1000,50,20,20,1,0.14804049587249757,0.03768990260362625,0.001,13.89290739968419,13.99306440345365,6543.559385251254,761111040,805306368
30,1500,1000,50,20,20,1,0.16843840098381044,0.042923939406871794,0.001,13.78487309999764,13.986773476672049,6478.890356998891,761111040,805306368
31,1550,1000,50,20,20,1,0.1362295422554016,0.03467141228914261,0.001,13.727357299998403,14.010629383877161,6438.130573699251,761111040,805306368
32,1600,1000,50,20,20,1,0.13708655667304992,0.03488938194513321,0.001,14.086084899958223,14.013138256254024,6592.287733180448,761111040,805306368
33,1650,1000,50,20,20,1,0.13064511346817018,0.033251177847385405,0.001,14.35112759983167,14.023532566670893,6701.97658912139,761111040,805306368
34,1700,1000,50,20,20,1,0.12882108628749847,0.03281117233633995,0.001,13.556063199881464,14.009930891176577,6317.125451144762,761111040,805306368
35,1750,1000,50,20,20,1,0.1606633279323578,0.040990243792533874,0.001,13.73922389978543,14.002301191432135,6388.739113400225,761111040,805306368
36,1800,1000,50,20,20,1,0.19420149278640747,0.04959039479494095,0.001,14.137435600161552,14.006157663896577,6559.77011847496,761111040,805306368
37,1850,1000,50,20,20,1,0.159588316321373,0.040698524475097655,0.001,14.05141230020672,14.007510794590956,6505.803894995712,761111040,805306368
38,1900,1000,50,20,20,1,0.1836514377593994,0.0468919979929924,0.001,13.741574699990451,14.000630521056193,6348.6075113955885,761111040,805306368
39,1950,1000,50,20,20,1,0.1553921854496002,0.039638759851455686,0.001,13.725811500102282,13.993724679490791,6327.599101547152,761111040,805306368
40,2000,1000,50,20,20,1,0.18006308579444885,0.0459526281952858,0.001,13.936391700059175,13.99241111499723,6410.740182027221,761111040,805306368
41,2050,1000,50,20,20,1,0.17315120601654052,0.044174496591091156,0.001,14.36515050008893,14.031287263420115,6593.604079540819,761111040,805306368
42,2100,1000,50,20,20,1,0.17065499711036683,0.04353379821777344,0.001,14.074649199843407,14.032422640482851,6446.18933352828,761111040,805306368
