epoch,optimizer_updates,processed_trajectories,sampled_windows,rollout_steps_per_window,mean_training_relative_l2_per_trajectory_step,sampled_start_min,sampled_start_max,sampled_unique_start_count,learning_rate_used,learning_rate_next_epoch,epoch_seconds,mean_epoch_seconds_this_process,estimated_remaining_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes
1,63,1000,1000,20,0.5883155637741089,0,435,386,0.001,0.001,231.50389389973134,231.50517129991204,34494.27052368689,1043421184,1201668096
2,126,1000,1000,20,0.2939055717468262,0,435,398,0.001,0.001,246.19302690029144,238.8619808999356,35351.57317319047,1043421184,1201668096
3,189,1000,1000,20,0.2080654598236084,0,435,397,0.001,0.001,245.91627740021795,241.22105436663455,35459.49499189528,1043421184,1201668096
4,252,1000,1000,20,0.167046910572052,0,435,383,0.001,0.001,227.90171930007637,237.8965999999782,34732.90359999682,1043421184,1201668096
5,315,1000,1000,20,0.1375669807434082,0,433,385,0.001,0.001,222.1639099996537,234.75373104000465,34039.29100080067,1043421184,1201668096
6,378,1000,1000,20,0.12171570329666137,1,435,389,0.001,0.001,222.0806629001163,232.644815899975,33500.8534895964,1043421184,1201668096
7,441,1000,1000,20,0.11105551462173462,0,434,390,0.001,0.001,221.93071859981865,231.11667511432566,33049.68454134857,1043421184,1201668096
8,504,1000,1000,20,0.10585858826637268,1,435,387,0.001,0.001,221.94733619969338,229.97428279998712,32656.34815759817,1043421184,1201668096
9,567,1000,1000,20,0.09647466955184937,0,435,395,0.001,0.001,221.3526850999333,229.02047083335412,32291.88638750293,1043421184,1201668096
10,630,1000,1000,20,0.09348990869522095,0,435,380,0.001,0.001,221.61431559966877,228.28206120003014,31959.48856800422,1043421184,1201668096
11,693,1000,1000,20,0.08388595232963562,0,434,384,0.001,0.001,221.18725269986317,227.7515009090897,31657.45862636347,1043421184,1201668096
12,756,1000,1000,20,0.08438272595405578,0,435,391,0.001,0.001,221.779504599981,227.2554081416844,31361.24632355245,1043421184,1201668096
13,819,1000,1000,20,0.08123440446853637,0,435,389,0.001,0.001,221.70419290009886,226.83008257693683,31075.721313040347,1043421184,1201668096
14,882,1000,1000,20,0.07777426652908326,1,435,394,0.001,0.001,221.10337649984285,226.42281879285085,30793.503355827714,1043421184,1201668096
15,945,1000,1000,20,0.07844413676261902,0,435,390,0.001,0.001,221.39076479990035,226.08888976667077,30522.000118500553,1043421184,1201668096
16,1008,1000,1000,20,0.08083629932403565,0,435,387,0.001,0.001,186.18165099993348,223.59616208125954,29961.885718888778,1043421184,1201668096
17,1071,1000,1000,20,0.06989307723045349,0,435,395,0.001,0.001,126.07449709996581,217.86100408823833,28975.5135437357,1043421184,1201668096
18,1134,1000,1000,20,0.06752839045524597,0,435,389,0.001,0.001,128.1538054998964,212.87841987221813,28099.951423132792,1043421184,1201668096
19,1197,1000,1000,20,0.06824894762039184,0,435,388,0.001,0.001,131.95339019969106,208.6201333789596,27329.23747264371,1043421184,1201668096
20,1260,1000,1000,20,0.0660068395614624,0,435,396,0.001,0.001,126.89347669994459,204.53568016500213,26589.638421450276,1043421184,1201668096
21,1323,1000,1000,20,0.0670980803012848,0,435,386,0.001,0.001,132.2848244998604,156.1011427999474,20137.047421193216,1049434112,1193279488
22,1386,1000,1000,20,0.06398734073638916,0,435,378,0.001,0.001,129.92771270032972,143.0255383499898,18307.268908798695,1049434112,1193279488
23,1449,1000,1000,20,0.06623963613510132,0,435,379,0.001,0.001,133.28108159964904,139.78528606658801,17752.731330456678,1049466880,1193279488
24,1512,1000,1000,20,0.059899423408508304,0,435,396,0.001,0.001,123.67156020039693,135.7622565999627,17106.0443315953,1049466880,1193279488
25,1575,1000,1000,20,0.05781846809387207,0,435,394,0.001,0.001,125.20274550002068,133.65486952001228,16706.858690001536,1049466880,1193279488
26,1638,1000,1000,20,0.05824150905609131,1,435,395,0.001,0.001,125.59901419980451,132.31659626665837,16407.25793706564,1049466880,1193279488
27,1701,1000,1000,20,0.05669076614379883,0,435,402,0.001,0.001,125.54139439994469,131.3527208856706,16156.384668937484,1049466880,1193279488
28,1764,1000,1000,20,0.063553626871109,0,434,388,0.001,0.001,127.34198929974809,130.85422888747416,15964.215924271848,1049466880,1193279488
29,1827,1000,1000,20,0.057942219448089596,0,435,396,0.001,0.001,132.4416283001192,131.03326545552247,15855.025120118218,1049466880,1193279488
30,1890,1000,1000,20,0.056446890401840207,0,435,405,0.001,0.001,122.27669500000775,130.15982743999922,15619.179292799907,1049466880,1193279488
31,1953,1000,1000,20,0.0595600688457489,1,435,384,0.001,0.001,124.89521729992703,129.79138837272131,15445.175216353837,1049466880,1193279488
32,2016,1000,1000,20,0.05683586411476135,0,435,391,0.001,0.001,120.37000049976632,129.00831436664643,15222.981095264278,1049466880,1193279488
33,2079,1000,1000,20,0.054310557842254636,1,435,394,0.001,0.001,124.98854759987444,128.70097292307764,15058.013832000084,1049466880,1193279488
34,2142,1000,1000,20,0.054171409797668456,0,435,386,0.001,0.001,126.31170840002596,128.5322273214281,14909.73836928566,1049466880,1193279488
35,2205,1000,1000,20,0.052580607914924624,0,435,389,0.001,0.001,126.04505739966407,128.36820080000908,14762.343092001043,1049466880,1193279488
36,2268,1000,1000,20,0.049769386672973634,0,435,398,0.001,0.001,125.12425049999729,128.16716659374651,14611.056991687103,1049466880,1193279488
37,2331,1000,1000,20,0.049887638902664184,0,435,387,0.001,0.001,128.81487879995257,128.2069428529426,14487.384542382515,1049466880,1193279488
38,2394,1000,1000,20,0.049680953741073605,0,435,395,0.001,0.001,124.48453220026568,128.00175537220719,14336.196601687205,1049466880,1193279488
39,2457,1000,1000,20,0.047546451544761656,0,435,397,0.001,0.001,130.2430333001539,128.12121822631084,14221.455223120503,1049466880,1193279488
40,2520,1000,1000,20,0.04666727101802826,0,435,394,0.001,0.001,128.36848379997537,128.13507139498833,14094.857853448717,1049466880,1193279488
41,2583,1000,1000,20,0.04425599522590637,0,435,395,0.001,0.001,122.6048181001097,127.92349449046222,13943.660899460381,1049466880,1193279488
42,2646,1000,1000,20,0.043929546785354615,0,435,387,0.001,0.001,121.95381990028545,127.65422324999236,13786.656110999174,1049466880,1193279488
43,2709,1000,1000,20,0.0439344997882843,0,435,387,0.001,0.001,126.79485830012709,127.61828846087599,13655.156865313731,1049466880,1193279488
44,2772,1000,1000,20,0.04372147467136383,0,435,390,0.001,0.001,124.98829079978168,127.50988765833124,13516.048091783112,1049466880,1193279488
45,2835,1000,1000,20,0.04413090786933899,0,435,388,0.001,0.001,121.58108169957995,127.27388169199229,13363.75757765919,1049466880,1193279488
46,2898,1000,1000,20,0.04365596613883972,1,435,387,0.001,0.001,123.1928213997744,127.11788926538654,13220.2604836002,1049466880,1193279488
47,2961,1000,1000,20,0.0437828777551651,0,435,400,0.001,0.001,121.12209879979491,126.89704571110714,13070.395708244036,1049466880,1193279488
48,3024,1000,1000,20,0.04432638642787933,0,434,389,0.001,0.001,125.0112296002917,126.83074068570775,12936.73554994219,1049466880,1193279488
49,3087,1000,1000,20,0.04480256414413452,0,434,390,0.001,0.001,125.17453469987959,126.77477728620428,12804.252505906632,1049466880,1193279488
50,3150,1000,1000,20,0.04046428985595703,1,435,396,0.001,0.001,127.22867370024323,126.79101091333044,12679.101091333045,1049466880,1193279488
51,3213,1000,1000,20,0.042795172309875486,0,435,395,0.001,0.001,130.21083750016987,126.93960533870924,12567.020928532214,1049466880,1193279488
52,3276,1000,1000,20,0.049339280557632446,0,435,390,0.001,0.001,126.42031410010532,126.92449195937661,12438.600212018908,1049466880,1193279488
53,3339,1000,1000,20,0.04397901821136475,0,435,400,0.001,0.001,126.1208234000951,126.9017125727242,12309.466119554247,1049466880,1193279488
54,3402,1000,1000,20,0.047771830415725705,1,435,385,0.001,0.001,127.22938929963857,126.91238678528873,12183.589131387718,1049466880,1193279488
55,3465,1000,1000,20,0.04207831144332886,0,434,390,0.001,0.001,121.10185250034556,126.74742436571313,12041.005314742748,1049466880,1193279488
56,3528,1000,1000,20,0.03935927934646606,0,435,382,0.001,0.001,124.01440540002659,126.67244326944153,11907.209667327505,1049466880,1193279488
57,3591,1000,1000,20,0.03785764193534851,0,435,387,0.001,0.001,122.43469489971176,126.55872984054322,11769.96187517052,1049466880,1193279488
58,3654,1000,1000,20,0.04008696990013123,0,434,391,0.001,0.001,122.43963479995728,126.45124328157276,11633.514381904693,1049466880,1193279488
59,3717,1000,1000,20,0.041751842284202575,0,435,396,0.001,0.001,122.98943049972877,126.36335875897501,11499.065647066725,1049466880,1193279488
60,3780,1000,1000,20,0.03656212613582611,0,435,388,0.001,0.001,123.22470230003819,126.28573718999978,11365.71634709998,1049466880,1193279488
61,3843,1000,1000,20,0.0380817289352417,0,435,390,0.001,0.001,123.54946140013635,126.24801002682482,11236.072892387409,1049466880,1193279488
