seed,phase,epoch,training_metric,validation_derivative_normalized_mse,validation_derivative_q21_global_relative_l2,validation_lead_1_full_relative_l2,validation_lead_1_q21_relative_l2
20260820,derivative,1,0.45869827551841735,0.348017494312604,0.5615989025235485,,
20260820,derivative,2,0.24702285323143006,0.2725488680489507,0.49699028672471446,,
20260820,derivative,3,0.18670469119548797,0.24377992782770888,0.4700290334522136,,
20260820,derivative,4,0.15626953033208846,0.22886295115681424,0.45542142422344517,,
20260820,derivative,5,0.13701141996383667,0.21999612278203132,0.4465120904423773,,
20260820,derivative,6,0.1227547646164894,0.2145120720435516,0.4409116586123283,,
20260820,derivative,7,0.11110350295901299,0.20787785611438447,0.4340400707617439,,
20260820,derivative,8,0.10168560528755188,0.20469951219555516,0.43070916821072547,,
20260820,derivative,9,0.09425699815750122,0.20225565811862178,0.4281303840995209,,
20260820,derivative,10,0.08796887754797936,0.20155242674909096,0.4273854468183364,,
20260820,derivative,11,0.08259178751707077,0.20024968358386833,0.42600199759970053,,
20260820,derivative,12,0.07820593512058258,0.19904157169820974,0.42471500698038256,,
20260820,derivative,13,0.074627288210392,0.19853013650856155,0.4241690095037849,,
20260820,derivative,14,0.07168838077783585,0.19867754487326603,0.4243264489671635,,
20260820,derivative,15,0.06940251719355583,0.19846047752076992,0.42409458634512903,,
20260820,derivative,16,0.06769888931512832,0.19853710100514582,0.4241764439767088,,
20260820,derivative,17,0.06639588505029678,0.19822116335901227,0.42383881017843344,,
20260820,derivative,18,0.0655091493487358,0.19844406324031297,0.4240770463140367,,
20260820,derivative_checkpoint,0,,,,0.028101369745563716,0.7436763560771942
20260820,short_free_rollout,1,0.08937921534990892,,,0.02646855531958863,0.6381179237365723
20260820,short_free_rollout,2,0.07615995828062296,,,0.026482301286887378,0.6395423993468284
20260820,lead_1_truncated_rollout_stage_1,1,0.1896225996435775,,,0.02618761397432536,0.6120572465658188
20260820,lead_1_truncated_rollout_stage_2,1,0.1740130056941416,,,0.026085179725196212,0.6018787187337875
20260821,derivative,1,0.4467448310375214,0.3297731814772705,0.5466802410348367,,
20260821,derivative,2,0.2406034650325775,0.27936204597051256,0.5031638293053117,,
20260821,derivative,3,0.19089383561611176,0.251016448096736,0.4769543370519283,,
20260821,derivative,4,0.16040610324144364,0.2368701499568997,0.46331981983702714,,
20260821,derivative,5,0.1399533696293831,0.22455652088295028,0.45111632615075875,,
20260821,derivative,6,0.12475261396169662,0.21680406683211914,0.4432609005883415,,
20260821,derivative,7,0.11322798377275467,0.21241640574236226,0.4387526349755267,,
20260821,derivative,8,0.10344343633651733,0.2077484712324731,0.4339049760817231,,
20260821,derivative,9,0.09577797683477401,0.20565479990921448,0.431713011786715,,
20260821,derivative,10,0.08919394828677177,0.2028736066900019,0.42878391804764643,,
20260821,derivative,11,0.08355548532605171,0.20250619063070918,0.428395462894886,,
20260821,derivative,12,0.07904918504357338,0.20155124638621055,0.42738419303090475,,
20260821,derivative,13,0.07535120952129364,0.20068513827765128,0.42646492496078675,,
20260821,derivative,14,0.07240122403502464,0.20027629242211697,0.4260302949799419,,
20260821,derivative,15,0.07004067393541336,0.19980347586822608,0.42552710793528614,,
20260821,derivative,16,0.06824436684846878,0.19991898527488228,0.42565009102702195,,
20260821,derivative,17,0.06690741931200027,0.20010871214473444,0.4258520173016335,,
20260821,derivative,18,0.06599015145301819,0.19987984770091133,0.4256084254988189,,
