experiment,condition,noise_percent,method,parameter,estimate,reference,absolute_error,relative_error_percent
M1,noise_000,0.0,GIFT,nu,0.0100484008416519,0.01,4.840084165195005e-05,0.4840084165195005
M1,noise_000,0.0,GIFT,beta,0.9953366697172102,1.0,0.0046633302827897,0.4663330282789757
M1,noise_000,0.0,GIFT,gamma,0.9996964309071632,1.0,0.0003035690928367,0.0303569092836797
M1,noise_000,0.0,PDE-FIND,nu,0.021365651962167,0.01,0.011365651962167,113.65651962167018
M1,noise_000,0.0,PDE-FIND,beta,0.8688639691781915,1.0,0.1311360308218084,13.113603082180846
M1,noise_000,0.0,PDE-FIND,gamma,0.9030208071520076,1.0,0.0969791928479923,9.69791928479924
M1,noise_000,0.0,PDE-FIND-KC,nu,0.0135082041084634,0.01,0.0035082041084634,35.08204108463496
M1,noise_000,0.0,PDE-FIND-KC,beta,0.8404702917737495,1.0,0.1595297082262504,15.952970822625046
M1,noise_000,0.0,PDE-FIND-KC,gamma,0.8911463664383021,1.0,0.1088536335616978,10.885363356169789
M1,noise_000,0.0,PINN-SR,nu,0.0256297746673226,0.01,0.0156297746673226,156.29774667322633
M1,noise_000,0.0,PINN-SR,beta,0.6315646171569824,1.0,0.3684353828430176,36.84353828430176
M1,noise_000,0.0,PINN-SR,gamma,0.5973858833312988,1.0,0.4026141166687011,40.26141166687012
M1,noise_000,0.0,PINN-SR-KC,nu,0.0298536997288465,0.01,0.0198536997288465,198.53699728846547
M1,noise_000,0.0,PINN-SR-KC,beta,0.6671757698059082,1.0,0.3328242301940918,33.28242301940918
M1,noise_000,0.0,PINN-SR-KC,gamma,0.7365320920944214,1.0,0.2634679079055786,26.34679079055786
M1,noise_001,1.0,GIFT,nu,0.0095639251502091,0.01,0.0004360748497908,4.360748497908833
M1,noise_001,1.0,GIFT,beta,0.9912322209735124,1.0,0.0087677790264876,0.8767779026487621
M1,noise_001,1.0,GIFT,gamma,0.9996010057493262,1.0,0.0003989942506738,0.03989942506738
M1,noise_001,1.0,PDE-FIND,nu,0.0197733311313315,0.01,0.0097733311313315,97.73331131331534
M1,noise_001,1.0,PDE-FIND,beta,0.8376112055857747,1.0,0.1623887944142252,16.238879441422526
M1,noise_001,1.0,PDE-FIND,gamma,0.8829901455768916,1.0,0.1170098544231084,11.70098544231084
M1,noise_001,1.0,PDE-FIND-KC,nu,0.0144219463324646,0.01,0.0044219463324646,44.2194633246463
M1,noise_001,1.0,PDE-FIND-KC,beta,0.812521844668572,1.0,0.1874781553314279,18.7478155331428
M1,noise_001,1.0,PDE-FIND-KC,gamma,0.8576291877177761,1.0,0.1423708122822239,14.237081228222392
M1,noise_001,1.0,PINN-SR,nu,0.0248935716226696,0.01,0.0148935716226696,148.93571622669697
M1,noise_001,1.0,PINN-SR,beta,0.6289087533950806,1.0,0.3710912466049194,37.10912466049194
M1,noise_001,1.0,PINN-SR,gamma,0.5530133843421936,1.0,0.4469866156578064,44.69866156578064
M1,noise_001,1.0,PINN-SR-KC,nu,0.029826795682311,0.01,0.019826795682311,198.26795682311052
M1,noise_001,1.0,PINN-SR-KC,beta,0.6728013157844543,1.0,0.3271986842155456,32.719868421554565
M1,noise_001,1.0,PINN-SR-KC,gamma,0.7622136473655701,1.0,0.2377863526344299,23.778635263442997
M1,noise_010,10.0,GIFT,nu,0.0035147716128853,0.01,0.0064852283871146,64.85228387114678
M1,noise_010,10.0,GIFT,beta,0.8022183355234387,1.0,0.1977816644765613,19.778166447656133
M1,noise_010,10.0,GIFT,gamma,0.9921716728744288,1.0,0.0078283271255712,0.7828327125571244
M1,noise_010,10.0,PDE-FIND,nu,0.0198146476351524,0.01,0.0098146476351524,98.1464763515249
M1,noise_010,10.0,PDE-FIND,beta,0.8308250498082793,1.0,0.1691749501917206,16.91749501917207
M1,noise_010,10.0,PDE-FIND,gamma,0.8796655291603,1.0,0.1203344708396999,12.033447083969994
M1,noise_010,10.0,PDE-FIND-KC,nu,0.0141719597177195,0.01,0.0041719597177195,41.71959717719562
M1,noise_010,10.0,PDE-FIND-KC,beta,0.8057621771582396,1.0,0.1942378228417604,19.42378228417604
M1,noise_010,10.0,PDE-FIND-KC,gamma,0.8579150573289804,1.0,0.1420849426710195,14.208494267101957
M1,noise_010,10.0,PINN-SR,nu,0.0270493980497121,0.01,0.0170493980497121,170.49398049712178
M1,noise_010,10.0,PINN-SR,beta,0.6284132599830627,1.0,0.3715867400169372,37.158674001693726
M1,noise_010,10.0,PINN-SR,gamma,0.6267240643501282,1.0,0.3732759356498718,37.32759356498718
M1,noise_010,10.0,PINN-SR-KC,nu,0.0297508481889963,0.01,0.0197508481889963,197.50848188996312
M1,noise_010,10.0,PINN-SR-KC,beta,0.6681391596794128,1.0,0.3318608403205871,33.18608403205872
M1,noise_010,10.0,PINN-SR-KC,gamma,0.7332351803779602,1.0,0.2667648196220398,26.67648196220398
