experiment,cohort,task,band,method,seed,mean_relative_l2,finite_count,population,training_regime
S1,validation_1000_1019,validation_derivative,full,GIFT,20260820,0.05151752068631625,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative,full,GIFT,20260821,0.05172829879811306,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative,full,GIFT,20260822,0.0517670837755797,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative,full,GIFT (high-frequency branch disabled),fixed,0.09828946777756052,9940,9940,GIFT
S1,test_1040_1219,N64_t6,full,GIFT,20260820,0.02102944616329716,180,180,GIFT
S1,test_1040_1219,N64_t6,full,GIFT,20260821,0.02107273283391257,180,180,GIFT
S1,test_1040_1219,N64_t6,full,GIFT,20260822,0.021071727837879476,180,180,GIFT
S1,test_1040_1219,N64_t6,full,GIFT (high-frequency branch disabled),fixed,0.0526971674826572,180,180,GIFT
S1,test_1040_1219,N96_t6,full,GIFT,20260820,0.020957715467876857,180,180,GIFT
S1,test_1040_1219,N96_t6,full,GIFT,20260821,0.020940205473811615,180,180,GIFT
S1,test_1040_1219,N96_t6,full,GIFT,20260822,0.02094254682001455,180,180,GIFT
S1,test_1040_1219,N96_t6,full,GIFT (high-frequency branch disabled),fixed,0.04933736542019724,180,180,GIFT
S1,test_1040_1219,N128_t6,full,GIFT,20260820,0.020944312674924883,180,180,GIFT
S1,test_1040_1219,N128_t6,full,GIFT,20260821,0.020926997466795987,180,180,GIFT
S1,test_1040_1219,N128_t6,full,GIFT,20260822,0.02092909187494612,180,180,GIFT
S1,test_1040_1219,N128_t6,full,GIFT (high-frequency branch disabled),fixed,0.04931308039782907,180,180,GIFT
S1,test_1040_1219,N64_t8,full,GIFT,20260820,0.03647652363764349,180,180,GIFT
S1,test_1040_1219,N64_t8,full,GIFT,20260821,0.036493531117281104,180,180,GIFT
S1,test_1040_1219,N64_t8,full,GIFT,20260822,0.036493464774905456,180,180,GIFT
S1,test_1040_1219,N64_t8,full,GIFT (high-frequency branch disabled),fixed,0.06184387632629929,180,180,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT,20260820,0.04202881607495956,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT,20260821,0.04202881606448329,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT,20260822,0.042028816045128106,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT (high-frequency branch disabled),fixed,0.04202881607387715,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT,20260820,4.235679778299344,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT,20260821,5.054552437843083,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT,20260822,3.6837234514875314,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT (high-frequency branch disabled),fixed,1.0000053288868425,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT,20260820,4.201919701185283,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT,20260821,5.010634379034343,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT,20260822,3.6644713180037107,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT (high-frequency branch disabled),fixed,1.0000053473859876,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT,20260820,10.115698590261102,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT,20260821,12.406506330391506,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT,20260822,7.956076306506943,9940,9940,GIFT
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT (high-frequency branch disabled),fixed,1.000059152894175,9940,9940,GIFT
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT,20260820,0.01934071684975542,180,180,GIFT
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT,20260821,0.019340704417996207,180,180,GIFT
