experiment,training_regime,subject,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
S2,GIFT,all trajectories,GIFT,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT,20260820,5.5,0.5,180,180,0.02185239624785057,0.004848425169382939,0.021301944281311967,0.0302869748598505,0.035173180259310044
S2,GIFT,all trajectories,GIFT,20260820,6.0,1.0,180,180,0.021029455569018248,0.004768425004202206,0.020484934109515573,0.028780932761408678,0.037369530064200684
S2,GIFT,all trajectories,GIFT,20260820,6.5,1.5,180,180,0.02161801420815654,0.005537243190207868,0.020548762253495313,0.03227182471438272,0.0384944146680213
S2,GIFT,all trajectories,GIFT,20260820,7.0,2.0,180,180,0.023985296684866174,0.006566436149146308,0.0224699304475113,0.03657631527181559,0.046891054954178404
S2,GIFT,all trajectories,GIFT,20260820,7.5,2.5,180,180,0.028847196514226,0.00876776253389558,0.027714960570516273,0.04497103207362134,0.062225342984724145
S2,GIFT,all trajectories,GIFT,20260820,8.0,3.0,180,180,0.03647648308773141,0.0130075426724415,0.03369879583994467,0.06213137339278054,0.07895467019345016
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,5.5,0.5,180,180,0.021852398461227756,0.0048483908958307734,0.02130183559457092,0.030286360699519833,0.035172905088610845
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,6.0,1.0,180,180,0.021029146140593133,0.004768011326014022,0.020484349237316353,0.028780410942011534,0.037365380711566656
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,6.5,1.5,180,180,0.021617398915247242,0.005535859033790707,0.020545490474888385,0.032262175266814526,0.03849699690359657
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,7.0,2.0,180,180,0.023984787310790266,0.006563442336947227,0.02246572053421246,0.036546040594541834,0.04688671018048076
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,7.5,2.5,180,180,0.02884646206786193,0.008762647194187408,0.027720564768386455,0.044927634718120814,0.06225122288401011
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260820,8.0,3.0,180,180,0.036475094084464234,0.01300030553937517,0.033663233368906614,0.062186154605131265,0.07890480649696403
S2,GIFT,all trajectories,GIFT,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT,20260821,5.5,0.5,180,180,0.021936079103090225,0.004873164803120234,0.02126773148144678,0.030898458246854305,0.035591265460204496
S2,GIFT,all trajectories,GIFT,20260821,6.0,1.0,180,180,0.02107274563186442,0.004760035861981402,0.020557692968558854,0.028835561354366327,0.03714455473557485
S2,GIFT,all trajectories,GIFT,20260821,6.5,1.5,180,180,0.021668242562688705,0.0055460905156296215,0.020585308635928404,0.03244580810719974,0.03859206348727878
S2,GIFT,all trajectories,GIFT,20260821,7.0,2.0,180,180,0.024010107693677372,0.006576997703883922,0.02250333418891544,0.03658042477411648,0.04713366885178106
