experiment,training_regime,quantity,seed,within_seed_population,within_seed_finite_count,within_seed_mean,between_seed_mean,between_seed_sample_sd,coefficient_of_variation_percent
S3,GIFT,validation_tau1,20260820,100,100,0.013544418150559068,0.013569469281937927,2.1925657983741068e-05,0.16158080709115066
S3,GIFT,validation_tau1,20260821,100,100,0.013578822294948622,0.013569469281937927,2.1925657983741068e-05,0.16158080709115066
S3,GIFT,validation_tau1,20260822,100,100,0.01358516740030609,0.013569469281937927,2.1925657983741068e-05,0.16158080709115066
S3,GIFT,N64_t6,20260820,180,180,0.02102944616329716,0.021057968945029735,2.4706564159747706e-05,0.11732643458750631
S3,GIFT,N64_t6,20260821,180,180,0.02107273283391257,0.021057968945029735,2.4706564159747706e-05,0.11732643458750631
S3,GIFT,N64_t6,20260822,180,180,0.021071727837879476,0.021057968945029735,2.4706564159747706e-05,0.11732643458750631
S3,GIFT,N96_t6,20260820,180,180,0.020957715467876857,0.020946822587234338,9.505872502279157e-06,0.04538097586252694
S3,GIFT,N96_t6,20260821,180,180,0.020940205473811615,0.020946822587234338,9.505872502279157e-06,0.04538097586252694
S3,GIFT,N96_t6,20260822,180,180,0.02094254682001455,0.020946822587234338,9.505872502279157e-06,0.04538097586252694
S3,GIFT,N128_t6,20260820,180,180,0.020944312674924883,0.020933467338888994,9.45053552309669e-06,0.045145581332052084
S3,GIFT,N128_t6,20260821,180,180,0.020926997466795987,0.020933467338888994,9.45053552309669e-06,0.045145581332052084
S3,GIFT,N128_t6,20260822,180,180,0.02092909187494612,0.020933467338888994,9.45053552309669e-06,0.045145581332052084
S3,GIFT,N64_t8,20260820,180,180,0.03647652363764349,0.036487839843276686,9.800177691105053e-06,0.026858750019729795
S3,GIFT,N64_t8,20260821,180,180,0.036493531117281104,0.036487839843276686,9.800177691105053e-06,0.026858750019729795
S3,GIFT,N64_t8,20260822,180,180,0.036493464774905456,0.036487839843276686,9.800177691105053e-06,0.026858750019729795
S3,GIFT,equation_full_action,20260820,1980,1980,0.08175954618939468,0.08206220521736259,0.0002632530475725994,0.32079694528718417
S3,GIFT,equation_full_action,20260821,1980,1980,0.08218903367732024,0.08206220521736259,0.0002632530475725994,0.32079694528718417
S3,GIFT,equation_full_action,20260822,1980,1980,0.08223803578537286,0.08206220521736259,0.0002632530475725994,0.32079694528718417
S3,GIFT-Lite,validation_tau1,20260820,100,100,0.02608511009020731,0.026122523238882422,8.17337790883313e-05,0.3128862336187859
S3,GIFT-Lite,validation_tau1,20260821,100,100,0.02606619247002527,0.026122523238882422,8.17337790883313e-05,0.3128862336187859
S3,GIFT-Lite,validation_tau1,20260822,100,100,0.026216267156414688,0.026122523238882422,8.17337790883313e-05,0.3128862336187859
S3,GIFT-Lite,N64_t6,20260820,180,180,0.040756138744587465,0.040763377918931906,0.00010171097947711934,0.24951558155802706
S3,GIFT-Lite,N64_t6,20260821,180,180,0.04066547992579262,0.040763377918931906,0.00010171097947711934,0.24951558155802706
S3,GIFT-Lite,N64_t6,20260822,180,180,0.04086851508641563,0.040763377918931906,0.00010171097947711934,0.24951558155802706
S3,GIFT-Lite,N96_t6,20260820,180,180,0.039785161465171116,0.03975442631286384,6.88720530699526e-05,0.1732437352458204
S3,GIFT-Lite,N96_t6,20260821,180,180,0.039675538090432345,0.03975442631286384,6.88720530699526e-05,0.1732437352458204
S3,GIFT-Lite,N96_t6,20260822,180,180,0.03980257938298806,0.03975442631286384,6.88720530699526e-05,0.1732437352458204
S3,GIFT-Lite,N128_t6,20260820,180,180,0.03977138811232993,0.03974204810153562,6.890794368931473e-05,0.1733880033390935
S3,GIFT-Lite,N128_t6,20260821,180,180,0.039663325949192155,0.03974204810153562,6.890794368931473e-05,0.1733880033390935
S3,GIFT-Lite,N128_t6,20260822,180,180,0.039791430243084784,0.03974204810153562,6.890794368931473e-05,0.1733880033390935
S3,GIFT-Lite,N64_t8,20260820,180,180,0.08812309756108816,0.08819013522115259,5.823922916082918e-05,0.06603825815073745
S3,GIFT-Lite,N64_t8,20260821,180,180,0.08821904190276307,0.08819013522115259,5.823922916082918e-05,0.06603825815073745
S3,GIFT-Lite,N64_t8,20260822,180,180,0.08822826619960648,0.08819013522115259,5.823922916082918e-05,0.06603825815073745
S3,GIFT-Lite,equation_full_action,20260820,1980,1980,0.09246687689181816,0.09258298613292539,0.0001533471258075078,0.1656320801614032
S3,GIFT-Lite,equation_full_action,20260821,1980,1980,0.09275681779822688,0.09258298613292539,0.0001533471258075078,0.1656320801614032
S3,GIFT-Lite,equation_full_action,20260822,1980,1980,0.09252526370873113,0.09258298613292539,0.0001533471258075078,0.1656320801614032
