method,absolute_time,mean_relative_l2,training_seed_sd,n_training_seeds,n_test_trajectories,finite_count_min,complete_population
GIFT,5.0,0.0,0.0,3,180,180,True
GIFT,5.5,0.021900528099847705,4.3236713355724986e-05,3,180,180,True
GIFT,6.0,0.02105797331257848,2.47024270400043e-05,3,180,180,True
GIFT,6.5,0.021650910001206586,2.850232503463384e-05,3,180,180,True
GIFT,7.0,0.023999757517154673,1.2906186798431942e-05,3,180,180,True
GIFT,7.5,0.028859430078189172,1.2139327017593655e-05,3,180,180,True
GIFT,8.0,0.036487876427781236,9.867000885973168e-06,3,180,180,True
GIFT-Lite,5.0,0.0,0.0,3,180,180,True
GIFT-Lite,5.5,0.03606056908175093,0.00014875549414108643,3,180,180,True
GIFT-Lite,6.0,0.04076338887775738,0.0001017118142955662,3,180,180,True
GIFT-Lite,6.5,0.046963146409904954,5.5058823972842004e-05,3,180,180,True
GIFT-Lite,7.0,0.054451367248000766,3.062517228793502e-05,3,180,180,True
GIFT-Lite,7.5,0.06779741188565196,4.376821707818712e-05,3,180,180,True
GIFT-Lite,8.0,0.08819024143872806,5.7936328457959855e-05,3,180,180,True
FNO-2D,5.0,0.0,,1,180,180,True
FNO-2D,5.5,0.22103797642845188,,1,180,180,True
FNO-2D,6.0,0.2714673043535317,,1,180,180,True
FNO-2D,6.5,0.3356301107100394,,1,180,180,True
FNO-2D,7.0,0.41380196745359776,,1,180,180,True
FNO-2D,7.5,0.5159274070003803,,1,180,180,True
FNO-2D,8.0,0.6247300175181466,,1,180,180,True
FNO-3D,5.0,0.0,,1,180,180,True
FNO-3D,5.5,0.3151749467303842,,1,180,180,True
FNO-3D,6.0,0.45068218521430425,,1,180,180,True
FNO-3D,6.5,0.595548551452556,,1,180,180,True
FNO-3D,7.0,0.725142364864097,,1,180,180,True
FNO-3D,7.5,0.8325341454881356,,1,180,180,True
FNO-3D,8.0,0.915957697589524,,1,180,180,True
U-NO,5.0,0.0,,1,180,180,True
U-NO,5.5,0.03012943662506635,,1,180,180,True
U-NO,6.0,0.0411161370512836,,1,180,180,True
U-NO,6.5,0.060576227505606345,,1,180,180,True
U-NO,7.0,0.08692059668810782,,1,180,180,True
U-NO,7.5,0.12248422194723929,,1,180,180,True
U-NO,8.0,0.1653067218349016,,1,180,180,True
U-Net,5.0,0.0,,1,180,180,True
U-Net,5.5,0.23357439034897412,,1,180,180,True
U-Net,6.0,0.5009183765771914,,1,180,180,True
U-Net,6.5,0.7301568964950429,,1,180,180,True
U-Net,7.0,0.9278266764363584,,1,180,180,True
U-Net,7.5,1.0912120276636916,,1,180,180,True
U-Net,8.0,1.2080346568204536,,1,180,180,True
