cohort,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_2260_2439,S4,GIFT,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT,20260820,5.5,0.5,180,180,0.012073156364395758,0.0044275851277964014,0.011166960173192261,0.020619166903327046,0.02861835960188443
test_2260_2439,S4,GIFT,20260820,6.0,1.0,180,180,0.012134960903969622,0.004277728914645768,0.01129634142587577,0.020385874932675848,0.028229985426507422
test_2260_2439,S4,GIFT,20260820,6.5,1.5,180,180,0.012950154215357449,0.004418449891039888,0.01228262439805626,0.020315160147432756,0.03389057397159507
test_2260_2439,S4,GIFT,20260820,7.0,2.0,180,180,0.01452079875520948,0.004580245179443746,0.014048990118388423,0.0224192755464472,0.031375210224562654
test_2260_2439,S4,GIFT,20260820,7.5,2.5,180,180,0.017191886243622466,0.005282059146360432,0.016698821398225965,0.025200207071301724,0.03663390284784391
test_2260_2439,S4,GIFT,20260820,8.0,3.0,180,180,0.021023138935566642,0.0069997838296347,0.019843652499532724,0.03322493546830473,0.04966639778982269
test_2260_2439,S4,GIFT,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT,20260821,5.5,0.5,180,180,0.012098112325401263,0.004458326435266875,0.011224573706938065,0.020631527353057774,0.029065769712909893
test_2260_2439,S4,GIFT,20260821,6.0,1.0,180,180,0.012134393209380572,0.004285910430208069,0.011344326197123812,0.020428775616381487,0.028059933722523328
test_2260_2439,S4,GIFT,20260821,6.5,1.5,180,180,0.01295792653078816,0.0044310096495992785,0.012266214045724503,0.020421129959491507,0.03350682428472175
test_2260_2439,S4,GIFT,20260821,7.0,2.0,180,180,0.014537378522748763,0.0046054808265392514,0.014069971093403914,0.02262140054434106,0.031418641309097606
test_2260_2439,S4,GIFT,20260821,7.5,2.5,180,180,0.017193779354028136,0.005283177827521675,0.016620139416079024,0.025117665015830862,0.036676475706491636
test_2260_2439,S4,GIFT,20260821,8.0,3.0,180,180,0.02103420451887488,0.007010009978792857,0.0197960087245318,0.03321600946118518,0.04959349796427854
test_2260_2439,S4,GIFT,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT,20260822,5.5,0.5,180,180,0.01211790176265415,0.004437445014305854,0.011189335000501257,0.020920486873861367,0.02887782202436695
test_2260_2439,S4,GIFT,20260822,6.0,1.0,180,180,0.01216879117782792,0.004285924177752371,0.011298459293097626,0.020580384612730183,0.028287596082315996
test_2260_2439,S4,GIFT,20260822,6.5,1.5,180,180,0.012990956289562554,0.004421272862368617,0.012283576605876157,0.020414842371943378,0.033374669950003766
test_2260_2439,S4,GIFT,20260822,7.0,2.0,180,180,0.014572971086209321,0.0046099653671983435,0.014117100737196991,0.022747798801168586,0.031538596147241076
test_2260_2439,S4,GIFT,20260822,7.5,2.5,180,180,0.0172221179850994,0.005289239121332798,0.016674037515870765,0.025267423064989417,0.03680814767865357
test_2260_2439,S4,GIFT,20260822,8.0,3.0,180,180,0.021046332233803235,0.007003662647943902,0.019883135862673276,0.033230299441010684,0.04966285948812127
test_2260_2439,S4,GIFT-Lite,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT-Lite,20260820,5.5,0.5,180,180,0.02606893536176354,0.010608465774429334,0.02388714647150323,0.04549875025632629,0.06164674177601967
test_2260_2439,S4,GIFT-Lite,20260820,6.0,1.0,180,180,0.051994865262713616,0.03822248335745036,0.041637523325322355,0.10305991781386957,0.3765372529801339
test_2260_2439,S4,GIFT-Lite,20260820,6.5,1.5,180,180,0.10344511361107106,0.1259778685095985,0.06833561353828008,0.30622505977989606,0.9674350538109392
test_2260_2439,S4,GIFT-Lite,20260820,7.0,2.0,180,179,0.20567666601796483,0.2922462138870506,0.09922722453167523,0.7810613380984956,1.7121763419631397
test_2260_2439,S4,GIFT-Lite,20260820,7.5,2.5,180,173,0.3209039864347887,0.3728019618035675,0.15857662176569698,1.2446059256580224,1.7059395185280017
test_2260_2439,S4,GIFT-Lite,20260820,8.0,3.0,180,163,0.4575309543832624,0.46247618344717323,0.2671770071657679,1.4722070253086519,2.0306084517395937
test_2260_2439,S4,GIFT-Lite,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT-Lite,20260821,5.5,0.5,180,180,0.02627262617597789,0.010664733546662959,0.02427902937821458,0.04575580249221286,0.061782270310396875
test_2260_2439,S4,GIFT-Lite,20260821,6.0,1.0,180,180,0.052142463196179656,0.03858120296465446,0.04199625115437504,0.10357778472075968,0.38340216006783284
test_2260_2439,S4,GIFT-Lite,20260821,6.5,1.5,180,180,0.10450859089634866,0.1300551233918945,0.06847856506499794,0.307374589467233,1.0089812569371324
test_2260_2439,S4,GIFT-Lite,20260821,7.0,2.0,180,179,0.212576910362624,0.31091969184441826,0.09913760029605302,0.8235396274602435,1.7766754204214328
test_2260_2439,S4,GIFT-Lite,20260821,7.5,2.5,180,172,0.3213975357948792,0.3741386565368275,0.1566771962867325,1.2393765408212967,1.6775827713119569
test_2260_2439,S4,GIFT-Lite,20260821,8.0,3.0,180,163,0.47200742915713556,0.4855037171331572,0.26746786543351064,1.5239658377227092,2.1637025506353784
test_2260_2439,S4,GIFT-Lite,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,GIFT-Lite,20260822,5.5,0.5,180,180,0.026444704453534366,0.01068436250064645,0.024084444145819985,0.04613983318152045,0.06199305451524423
test_2260_2439,S4,GIFT-Lite,20260822,6.0,1.0,180,180,0.052179629604325664,0.038291306169829564,0.04188824499412968,0.10314589653632354,0.3782159404478146
test_2260_2439,S4,GIFT-Lite,20260822,6.5,1.5,180,180,0.10417273951552072,0.12892098776303398,0.06835762371077839,0.30611195188668655,0.9971176644366864
test_2260_2439,S4,GIFT-Lite,20260822,7.0,2.0,180,179,0.20902253312854824,0.3031294222605575,0.09899258024336469,0.7834758270035302,1.750454652329712
test_2260_2439,S4,GIFT-Lite,20260822,7.5,2.5,180,173,0.32608996173775023,0.38226097346360866,0.1583097394856657,1.2550090794064288,1.8337856073414762
test_2260_2439,S4,GIFT-Lite,20260822,8.0,3.0,180,163,0.46454977872130676,0.4701058307451556,0.267548725692474,1.493187232442345,2.0666367584347247
test_2260_2439,S4,FNO-2D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,FNO-2D,fixed,5.5,0.5,180,180,0.15368415068837987,0.034431130420616005,0.1451495288889654,0.21511387449800115,0.2652261536465176
test_2260_2439,S4,FNO-2D,fixed,6.0,1.0,180,180,0.20278474187551265,0.05404520095962625,0.19199024810470897,0.2973806759943143,0.46748920390836424
test_2260_2439,S4,FNO-2D,fixed,6.5,1.5,180,180,0.2539917356957683,0.0707797293712675,0.24754414663893182,0.37183986112394846,0.5570449484338774
test_2260_2439,S4,FNO-2D,fixed,7.0,2.0,180,180,0.3179463106299209,0.09492258014130987,0.30367949532487626,0.5082008220039715,0.676346208946511
test_2260_2439,S4,FNO-2D,fixed,7.5,2.5,180,180,0.39320824677162375,0.12106231833691501,0.3745884549380213,0.6023807893828451,0.879171785932987
test_2260_2439,S4,FNO-2D,fixed,8.0,3.0,180,180,0.47536770105281173,0.14769371359651906,0.45023508049521943,0.744925557331418,1.0545735107257155
test_2260_2439,S4,FNO-3D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,FNO-3D,fixed,5.5,0.5,180,180,0.20780944882639543,0.03885338762803122,0.20154403202762125,0.27753546686695124,0.33708305719927956
test_2260_2439,S4,FNO-3D,fixed,6.0,1.0,180,180,0.2682174579012239,0.058354862074668896,0.2565762047054343,0.379212351583825,0.44961890483245853
